,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
960,Allen Crabbe,POR,24,26.0,10.3,3.8,1.4,1.2,0.3,2.3,2.7,1.2,0.8,0.2,81,43,38,0.5308641975308642,2015,1.86,1.02,0.83,4.3,4.68,3.91
961,Alonzo Gee,NOP,29,22.4,4.5,1.8,0.2,0.6,0.8,2.5,3.4,1.0,0.9,0.2,73,27,46,0.3698630136986301,2015,1.7,0.86,0.83,4.56,4.81,4.33
962,Amar'e Stoudemire,MIA,33,14.7,5.8,2.4,0.0,1.0,1.3,3.0,4.3,0.5,0.3,0.8,52,30,22,0.5769230769230769,2015,0.98,0.53,0.46,4.03,4.21,3.86
963,Amir Johnson,BOS,29,22.8,7.3,3.2,0.1,0.9,2.3,4.1,6.4,1.7,0.7,1.1,79,45,34,0.569620253164557,2015,1.55,0.77,0.77,4.09,4.37,3.84
964,Andre Drummond,DET,22,32.9,16.2,6.8,0.0,2.6,4.9,9.9,14.8,0.8,1.5,1.4,81,43,38,0.5308641975308642,2015,2.15,1.12,1.03,3.94,4.11,3.77
965,Andre Iguodala,GSW,32,26.6,7.0,2.7,0.8,0.8,0.8,3.2,4.0,3.4,1.1,0.3,65,59,6,0.9076923076923076,2015,1.84,0.96,0.88,4.16,4.59,3.78
966,Andre Miller,SAS,40,11.8,3.7,1.5,0.1,0.6,0.3,1.0,1.3,2.2,0.4,0.0,39,20,19,0.5128205128205128,2015,0.77,0.42,0.35,3.92,4.2,3.63
967,Andre Roberson,OKC,24,22.2,4.8,1.9,0.5,0.5,1.1,2.5,3.6,0.7,0.8,0.6,70,48,22,0.6857142857142857,2015,1.69,0.85,0.84,4.58,4.83,4.36
968,Andrea Bargnani,BKN,30,13.8,6.6,2.8,0.1,1.0,0.6,1.5,2.1,0.4,0.1,0.2,46,11,35,0.2391304347826087,2015,0.93,0.51,0.43,4.08,4.29,3.86
969,Andrew Bogut,GSW,31,20.7,5.4,2.5,0.0,0.3,1.7,5.3,7.0,2.3,0.5,1.6,70,62,8,0.8857142857142857,2015,1.32,0.67,0.65,3.83,4.2,3.5
970,Andrew Goudelock,HOU,27,6.2,2.8,1.1,0.1,0.4,0.1,0.1,0.3,0.5,0.8,0.3,8,5,3,0.625,2015,0.43,0.21,0.21,4.11,4.78,3.61
971,Andrew Wiggins,MIN,21,35.1,20.7,7.3,0.7,5.3,1.3,2.3,3.6,2.0,1.0,0.6,81,29,52,0.3580246913580247,2015,2.37,1.26,1.11,4.06,4.34,3.78
972,Anthony Bennett,TOR,23,4.4,1.5,0.4,0.2,0.5,0.3,0.9,1.2,0.0,0.3,0.0,19,12,7,0.631578947368421,2015,0.33,0.18,0.14,4.42,4.62,4.2
973,Anthony Brown,LAL,23,20.6,4.0,1.3,0.7,0.6,0.3,2.1,2.4,0.7,0.5,0.2,29,4,25,0.13793103448275862,2015,1.5,0.8,0.71,4.38,4.51,4.23
974,Anthony Davis,NOP,23,35.5,24.3,9.2,0.6,5.3,2.1,8.1,10.3,1.9,1.3,2.0,61,24,37,0.3934426229508197,2015,2.35,1.24,1.12,3.99,4.31,3.69
975,Anthony Morrow,OKC,30,13.6,5.6,2.0,1.2,0.4,0.1,0.8,0.9,0.4,0.3,0.1,68,46,22,0.6764705882352942,2015,0.94,0.51,0.43,4.17,4.54,3.8
976,Anthony Tolliver,DET,31,18.6,5.3,1.8,1.4,0.4,0.5,2.6,3.2,0.7,0.4,0.2,72,36,36,0.5,2015,1.29,0.72,0.58,4.18,4.55,3.79
977,Archie Goodwin,PHX,21,19.5,8.9,3.1,0.4,2.3,0.5,2.0,2.5,2.1,0.5,0.2,57,14,43,0.2456140350877193,2015,1.42,0.76,0.66,4.36,4.67,4.06
978,Aron Baynes,DET,29,15.2,6.3,2.4,0.0,1.6,1.7,3.0,4.7,0.6,0.3,0.6,81,43,38,0.5308641975308642,2015,1.03,0.55,0.48,4.06,4.24,3.87
979,Arron Afflalo,NYK,30,33.4,12.8,5.0,1.3,1.5,0.3,3.4,3.7,2.0,0.4,0.1,71,27,44,0.38028169014084506,2015,2.34,1.3,1.04,4.21,4.55,3.86
980,Avery Bradley,BOS,25,33.4,15.2,6.0,1.9,1.3,0.6,2.3,2.9,2.1,1.5,0.3,76,45,31,0.5921052631578947,2015,2.39,1.2,1.2,4.3,4.56,4.07
981,Avery Bradley,BOS,25,33.4,15.2,6.0,1.9,1.3,0.6,2.3,2.9,2.1,1.5,0.3,76,45,31,0.5921052631578947,2015,2.39,1.23,1.16,4.3,4.47,4.14
982,Avery Bradley,BOS,26,33.4,16.3,6.5,2.0,1.2,1.2,4.9,6.1,2.2,1.2,0.2,55,34,21,0.6181818181818182,2016,2.39,1.2,1.2,4.3,4.56,4.07
983,Avery Bradley,BOS,26,33.4,16.3,6.5,2.0,1.2,1.2,4.9,6.1,2.2,1.2,0.2,55,34,21,0.6181818181818182,2016,2.39,1.23,1.16,4.3,4.47,4.14
984,Axel Toupane,DEN,23,14.5,3.6,1.2,0.6,0.6,0.4,1.1,1.5,0.7,0.3,0.3,21,9,12,0.42857142857142855,2015,1.06,0.55,0.51,4.41,4.63,4.19
985,Ben McLemore,SAC,23,21.2,7.8,2.9,1.0,1.1,0.5,1.7,2.2,1.2,0.8,0.1,68,28,40,0.4117647058823529,2015,1.65,0.85,0.79,4.68,5.07,4.32
986,Beno Udrih,MEM,33,16.1,4.7,2.0,0.3,0.4,0.2,1.5,1.6,2.6,0.3,0.0,44,26,18,0.5909090909090909,2015,1.21,0.7,0.51,4.51,5.08,3.91
987,Blake Griffin,LAC,27,33.4,21.4,8.6,0.2,4.0,1.5,6.9,8.4,4.9,0.8,0.5,35,22,13,0.6285714285714286,2015,2.12,1.12,1.0,3.82,4.08,3.56
988,Boban Marjanovic,SAS,27,9.4,5.5,1.9,0.0,1.6,1.4,2.2,3.6,0.4,0.2,0.4,54,47,7,0.8703703703703703,2015,0.64,0.34,0.29,4.07,4.11,4.0
989,Bobby Portis,CHI,21,17.8,7.0,3.0,0.3,0.8,2.0,3.5,5.4,0.8,0.4,0.4,62,29,33,0.4677419354838709,2015,1.3,0.7,0.61,4.41,4.76,4.07
990,Bojan Bogdanovic,BKN,27,26.8,11.2,4.1,1.6,1.4,0.5,2.8,3.2,1.3,0.4,0.1,79,21,58,0.26582278481012656,2015,1.89,1.0,0.88,4.24,4.46,4.01
991,Boris Diaw,SAS,34,18.2,6.4,2.7,0.3,0.7,0.8,2.3,3.1,2.3,0.3,0.3,76,64,12,0.8421052631578947,2015,1.29,0.72,0.58,4.26,4.61,3.89
992,Bradley Beal,WAS,23,31.1,17.4,6.5,1.9,2.5,0.7,2.7,3.4,2.9,1.0,0.2,55,28,27,0.509090909090909,2015,2.24,1.17,1.07,4.34,4.73,3.98
993,Brandan Wright,MEM,28,17.7,6.9,2.9,0.0,1.1,1.2,2.4,3.6,0.5,0.4,1.3,12,6,6,0.5,2015,1.19,0.64,0.55,4.02,4.27,3.77
994,Branden Dawson,LAC,23,4.8,0.8,0.3,0.0,0.2,0.3,0.3,0.7,0.0,0.0,0.2,6,5,1,0.8333333333333334,2015,0.33,0.18,0.15,4.16,4.1,4.23
995,Brandon Bass,LAL,31,20.3,7.2,2.6,0.0,1.9,1.6,2.7,4.3,1.1,0.5,0.8,66,16,50,0.24242424242424246,2015,1.42,0.77,0.65,4.19,4.46,3.92
996,Brandon Jennings,ORL,26,18.1,6.9,2.3,1.1,1.2,0.3,1.7,2.0,3.5,0.6,0.1,48,20,28,0.4166666666666667,2015,1.33,0.73,0.6,4.43,4.89,3.99
